iter	Passed	Remaining
0	1	108
1	2	99
2	2	92
3	3	83
4	4	82
5	5	81
6	6	80
7	6	79
8	7	79
9	9	81
10	9	80
11	10	79
12	11	78
13	12	77
14	13	75
15	14	74
16	14	73
17	15	71
18	16	71
19	17	70
20	18	69
21	19	68
22	20	66
23	20	66
24	21	65
25	22	65
26	23	64
27	24	63
28	25	63
29	26	62
30	27	60
31	28	59
32	29	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	42	41
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	31
63	54	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	67	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	9
88	74	9
89	74	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
